Oily skin phenotype across the face, 22-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, soft even studio lighting.
Oily skin phenotype across the face, 20-year-old female, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, consistent frontal lighting.
Oily skin phenotype across the face, 23-year-old female, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, diffused softbox lighting.
Oily skin phenotype across the face, 20-year-old female, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, subtle even illumination.
Oily skin phenotype across the face, 19-year-old female, Fitzpatrick type VI skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, natural-looking studio lighting.
Oily skin phenotype on the cheeks, 26-year-old female, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, centered facial close-up, clean clinical lighting.
Oily skin phenotype across the face, 20-year-old female, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, soft even studio lighting.
Oily skin phenotype on the cheeks and chin, 50-year-old female, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, diffused clinical lighting.
Oily skin phenotype across the face, 30-year-old female, Fitzpatrick type I skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, balanced studio lighting.
Oily skin phenotype across the face, 21-year-old female, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, soft neutral lighting.
Oily skin phenotype across the forehead and cheeks, 51-year-old female, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, even frontal lighting.
Oily skin phenotype across the face, 22-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, gentle studio illumination.
Oily skin phenotype across the face, 37-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, clear clinical illumination.
Oily skin phenotype across the face, 52-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, soft controlled lighting.
Oily skin phenotype across the face, 23-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, uniform studio lighting.
Oily skin phenotype across the face, 26-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, neutral soft lighting.
Oily skin phenotype across the face, 55-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, consistent frontal lighting.
Oily skin phenotype across the face, 18-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, diffused softbox lighting.
Oily skin phenotype across the face, 38-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, subtle even illumination.
Oily skin phenotype across the face, 49-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, natural-looking studio lighting.
Oily skin phenotype across the face, 20-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, clinical facial portrait, clean clinical lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, soft even studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, diffused clinical lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, balanced studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, soft neutral lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, even frontal lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, gentle studio illumination.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, clear clinical illumination.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, soft controlled lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, uniform studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, neutral soft lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type I skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, consistent frontal lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, diffused softbox lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, subtle even illumination.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, natural-looking studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, natural frontal headshot, clean clinical lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type VI skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, soft even studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type I skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, diffused clinical lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, balanced studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, soft neutral lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, even frontal lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, gentle studio illumination.
Oily skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, clear clinical illumination.
Oily skin phenotype on the cheeks, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, soft controlled lighting.
Oily skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, uniform studio lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, neutral soft lighting.
Oily skin phenotype on the cheeks and chin, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, consistent frontal lighting.
Oily skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, diffused softbox lighting.
Oily skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, subtle even illumination.
Oily skin phenotype on the cheeks, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, natural-looking studio lighting.
Oily skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, dermatology-style facial close-up, clean clinical lighting.
Oily skin phenotype on the cheeks and chin, 28-year-old male, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, soft even studio lighting.
Oily skin phenotype on the t-zone, 20-year-old male, Fitzpatrick type IV skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, diffused clinical lighting.
Oily skin phenotype on the t-zone, 18-year-old male, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, balanced studio lighting.
Oily skin phenotype across the forehead and cheeks, 33-year-old male, Fitzpatrick type I skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, soft neutral lighting.
Oily skin phenotype across the forehead and cheeks, 36-year-old male, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, even frontal lighting.
Oily skin phenotype across the forehead and cheeks, 17-year-old male, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, gentle studio illumination.
Oily skin phenotype on the t-zone, 46-year-old male, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, clear clinical illumination.
Oily skin phenotype across the face, 57-year-old male, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, soft controlled lighting.
Oily skin phenotype across the face, 48-year-old male, Fitzpatrick type II skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, uniform studio lighting.
Oily skin phenotype on the t-zone, 19-year-old male, Fitzpatrick type V skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, neutral soft lighting.
Dry skin phenotype across the face, 22-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, consistent frontal lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, diffused softbox lighting.
Dry skin phenotype across the face, 54-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, subtle even illumination.
Dry skin phenotype across the face, 20-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, natural-looking studio lighting.
Dry skin phenotype across the face, 37-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, evenly framed facial portrait, clean clinical lighting.
Dry skin phenotype across the face, 53-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, soft even studio lighting.
Dry skin phenotype across the face, 20-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, diffused clinical lighting.
Dry skin phenotype across the face, 28-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, balanced studio lighting.
Dry skin phenotype across the face, 53-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, soft neutral lighting.
Dry skin phenotype across the face, 21-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, even frontal lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, gentle studio illumination.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, clear clinical illumination.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, soft controlled lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, uniform studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, neutral soft lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, consistent frontal lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, diffused softbox lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, subtle even illumination.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, natural-looking studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered head-and-face view, clean clinical lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type I skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, soft even studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, diffused clinical lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, balanced studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, soft neutral lighting.
